0000000046,0000022500,-00027835,-00013648,00028452,00028101,-00079214,00090270,-00010437,-00092938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000047,0000023000,-00027686,-00009521,00021156,00028119,-00087505,00082707,00004746,-00092272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000048,0000023500,-00027596,-00004914,00013741,00028139,-00093901,00073117,00019761,-00092600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000049,0000024000,-00027561,00000901,00007107,00028147,-00098191,00061826,00034260,-00092892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000050,0000024500,-00027592,00007404,00000967,00028173,-00099916,00048955,00047920,-00092472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000051,0000025000,-00027638,00014342,-00005654,00028186,-00099097,00034935,00060538,-00092572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000052,0000025500,-00027668,00020985,-00011402,00028194,-00095430,00019929,00071782,-00092116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000053,0000026000,-00027783,00027701,-00015602,00028216,-00089515,00004695,00081439,-00092691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000054,0000026500,-00027978,00035264,-00018766,00028236,-00081153,-00010905,00089423,-00092399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000055,0000027000,-00028200,00042337,-00020969,00028257,-00070828,-00025999,00095159,-00092143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000056,0000027500,-00028430,00048371,-00021578,00028270,-00058876,-00040376,00098474,-00092498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000057,0000028000,-00028695,00054176,-00021154,00028284,-00045280,-00054090,00099249,-00092635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000058,0000028500,-00029006,00060440,-00020915,00028301,-00030478,-00066612,00097422,-00092389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000059,0000029000,-00029253,00065666,-00019749,00028304,-00015198,-00077279,00092925,-00092188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000060,0000029500,-00029554,00069549,-00016751,00028313,-00000080,-00085936,00086144,-00093100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000061,0000030000,-00029886,00072741,-00012103,00028316,00015203,-00092664,00077053,-00092434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000062,0000030500,-00030176,00074525,-00006911,00028310,00030018,-00097239,00066171,-00092689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000063,0000031000,-00030407,00074185,-00000997,00028307,00044000,-00099451,00053866,-00093036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000064,0000031500,-00030675,00073849,00005498,00028302,00057262,-00099250,00040221,-00092872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000065,0000032000,-00030925,00073065,00012238,00028304,00069149,-00096263,00025549,-00093346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
